
================================================== May In Thuong ===============================================================
    _________________________________________________________________________________________
   |  So hieu may in   |  Mau sac    |  Toc do     |  Cuong do   |  Bo nho     |  So luong   |
   |___________________|_____________|_____________|_____________|_____________|_____________|
   |   TOM PRO         |    RED      |     15      |     20      |    250      |     10      |
   |___________________|_____________|_____________|_____________|_____________|_____________|
   | JERRY ONE         |   BLUE      |     14      |     20      |    200      |     10      |
   |___________________|_____________|_____________|_____________|_____________|_____________|
   | ANGELA HD         |  GREEN      |     16      |     20      |    240      |     10      |
   |___________________|_____________|_____________|_____________|_____________|_____________|
   |PIKACHU GD         | YELLOW      |     16      |     20      |    230      |     10      |
   |___________________|_____________|_____________|_____________|_____________|_____________|
   | MICKEY MS         |   PINK      |     16      |     20      |    250      |     10      |
   |___________________|_____________|_____________|_____________|_____________|_____________|
   |  BLOOM WX         |   BLUE      |     16      |     20      |    250      |     10      |
   |___________________|_____________|_____________|_____________|_____________|_____________|
   | STELLA ST         |    RED      |     15      |     20      |    250      |     10      |
   |___________________|_____________|_____________|_____________|_____________|_____________|
   |    GAIA G         |  GREEN      |     16      |     20      |    250      |     10      |
   |___________________|_____________|_____________|_____________|_____________|_____________|
   |  FLORA WX         |   BLUE      |     16      |     20      |    250      |     10      |
   |___________________|_____________|_____________|_____________|_____________|_____________|
   |SIMBA LION         |  BROWN      |     16      |     20      |    250      |     10      |
   |___________________|_____________|_____________|_____________|_____________|_____________|
